être;be;was/were;been
avoir;have;had;had
faire;do;did;done
dire;say;said;said
aller;go;went;gone
obtenir;get;got;gotten
faire;make;made;made
savoir;know;knew;known
prendre;take;took;taken
voir;see;saw;seen
venir;come;came;come
donner;give;gave;given
devenir;become;became;become
trouver;find;found;found
penser;think;thought;thought
dire;tell;told;told
partir;leave;left;left
sentir;feel;felt;felt
mettre;put;put;put
apporter;bring;brought;brought
commencer;begin;began;begun
garder;keep;kept;kept
tenir;hold;held;held
écrire;write;wrote;written
se tenir debout;stand;stood;stood
entendre;hear;heard;heard
laisser;let;let;let
signifier;mean;meant;meant
courir;run;ran;run
payer;pay;paid;paid
s'asseoir;sit;sat;sat
parler;speak;spoke;spoken
mentir;lie;lied;lied
s'allonger;lie;lay;lain
conduire;lead;led;led
lire;read;read;read
grandir;grow;grew;grown
casser;break;broke;broken
comprendre;understand;understood;understood
dessiner;draw;drew;drawn
choisir;choose;chose;chosen
oublier;forget;forgot;forgotten
perdre;lose;lost;lost
construire;build;built;built
manger;eat;ate;eaten
tomber;fall;fell;fallen
envoyer;send;sent;sent
conduire;drive;drove;driven
s'élever;rise;rose;risen
